Latitude,Longitude
40.7211494,-73.7548239027031
40.6250485,-73.9838405339342
40.5949421,-74.08389465
40.7843753,-73.9799098
40.7547747,-73.9760424
40.8466237,-73.9061428
40.6169587,-73.9636904
40.7356311,-73.988912
40.70660835,-73.8972571083688
40.7184412,-73.990178
40.7599966938775,-73.9808814081633
40.84341285,-73.9426153134546
40.7424103,-73.991245
40.74351335,-73.999433105973
40.7291609,-73.8872428
40.7461611,-73.9000874
40.73418775,-73.9946287233082
40.8333823,-73.9213465
40.731268,-73.99494
40.7579377,-73.9760417
40.7829623,-73.9506398937815
40.8569736,-73.9350562
40.74729485,-74.0048125407136
40.625550877551,-74.0323403469388
40.75903945,-73.8286571704427
40.874635,-73.8867227
40.848019,-73.940436
40.77382945,-73.9873920283499
40.7649385,-73.9763286
40.7359454,-73.8758225
40.6341606,-74.1079640306711
40.6820613,-73.9934146
40.6809276,-73.9665341301379
40.7050632,-73.7978060761407
40.6692146,-73.9298915622375
40.7553287,-73.9952719
40.60524025,-73.9430752261443
40.7594113,-73.9848237
40.6751344,-73.7763703
40.85353865,-73.9169047010801
40.6606196,-73.9508207
40.81468505,-73.9569873913483
40.71728095,-73.9443910958613
40.75356475,-73.8347585065892
40.76204715,-73.9249641616789
40.7216031,-74.0010215
40.6345033,-73.9672113
40.78218075,-73.952593850433
40.5257231,-74.1680031
40.7150253,-73.9476643
40.6660401,-73.8837738
40.754144,-73.9764892
40.6254357755102,-74.0318564693878
40.845596,-73.864323
40.62301465,-73.9474394318419
40.67808045,-73.9672026332214
40.86611275,-73.8647073492646
40.7612706,-73.8220756
40.7805992,-73.980303
40.69747465,-73.9959966418977
40.8402882,-73.9428154
40.733744,-74.0024899
40.8170833,-73.9221918
40.62272675,-73.95449547454
40.67134525,-73.9775803699758
40.826821,-73.941536
40.6529636,-73.9308188184303
40.5860597,-73.9527475049329
40.72006315,-73.9616939380946
40.6169587,-73.9636904
40.714971,-73.812894
40.7047956,-73.7982222
40.7127281,-74.0060152
40.7660398,-73.9553701620329
40.8486576,-73.9184241
40.595939,-74.062384
40.7195137,-73.8388308
40.6313032,-73.9476272
40.83418005,-73.8574316415399
40.8811802,-73.8994328
40.6114071,-73.9872593967899
40.693241,-73.928642
40.8976734,-73.8528875
40.8530181,-73.8958145864185
40.64165195,-73.9946153928211
40.6120161,-73.9838204236869
40.7887617,-73.9438101
40.74703585,-73.8918077321558
40.7383698,-73.9745603
40.769908,-73.9101068200994
40.6170591020408,-74.0355606326531
40.7362901,-73.80830625
40.8386095510204,-73.8443457959184
40.7796218,-73.9484555657767
40.7952105,-73.9451735
40.855997,-73.9290775
40.7659603,-73.9799397
40.7362796,-73.9912096473056
40.7459998,-73.9939991
40.7721879,-73.9284077
40.7570392,-73.9746573
40.5991455,-74.0052532
40.6705764268293,-73.9959767926829
40.7356988367347,-73.9817471428571
40.7040531,-73.8152327
40.63415115,-73.9634615201773
40.7181772,-74.0101808
40.744943,-73.903314
40.84171265,-73.857212392283
40.75808065,-73.9925432786286
40.7752458,-73.9476241
40.5845649,-73.966621
40.6939587,-73.9571967343935
40.7484498,-73.9455441
40.7745088,-73.9883571
40.723183,-73.98550175
40.7507119,-74.0037894
40.79552435,-73.9722924600924
40.7258761,-73.8107376
40.7408744,-74.0020561
40.7993506,-73.968722
40.6696001,-73.9311832
40.7633903,-73.9766683
40.7039722,-73.8131876
40.69260455,-73.9422336962316
40.6621647,-73.9199799
40.6600646,-73.9803603769533
40.74745345,-73.953595929567
40.7142265,-73.9291441
40.7564771,-73.920157
40.68830925,-73.987811587274
40.75142735,-73.86843125
40.8505112,-73.8931029
40.750241,-73.942072
40.66012365,-73.8719308883978
40.6814615,-73.8446838
40.6121821,-74.0048638
40.7226779,-73.8715077978662
40.84490305,-73.8647672191406
40.59284945,-73.940089295857
40.7106064,-73.9673446
40.7459306,-73.977722
40.7611625,-73.7862566
40.7922594,-73.9503498
40.68207095,-73.995532519061
40.8675882,-73.8988188
40.6554152142857,-74.0069609285714
40.5845649,-73.966621
40.67599305,-73.8198067134182
40.69172555,-73.9846707023475
40.638897,-73.91117995
40.6476722,-73.7582704
40.7178731,-73.927733564439
40.74829655,-74.0041356
40.60977715,-73.9812121440124
40.7609148,-73.9215828
40.5953785743727,-73.7437068686793
40.7582769,-73.79155845
40.62068435,-73.9344237862643
40.6530878,-73.9590301
